Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00633: path_length=21.40, steps=200
ep_00634: path_length=22.55, steps=200
ep_00635: path_length=21.95, steps=200
ep_00636: path_length=20.98, steps=200
ep_00637: path_length=23.28, steps=200
ep_00638: path_length=20.30, steps=200
ep_00639: path_length=23.37, steps=200
ep_00640: path_length=20.96, steps=200
ep_00641: path_length=22.75, steps=200
ep_00642: path_length=20.15, steps=200
ep_00643: path_length=22.12, steps=200
ep_00644: path_length=22.31, steps=200
ep_00645: path_length=21.18, steps=200
ep_00646: path_length=22.16, steps=200
ep_00647: path_length=20.12, steps=200
ep_00648: path_length=22.62, steps=200
ep_00649: path_length=21.10, steps=200
ep_00650: path_length=23.50, steps=200
ep_00651: path_length=22.91, steps=200
ep_00652: path_length=21.28, steps=200
ep_00653: path_length=21.78, steps=200
ep_00654: path_length=21.58, steps=200
ep_00655: path_length=22.10, steps=200
ep_00656: path_length=21.58, steps=200
ep_00657: path_length=21.11, steps=200
ep_00658: path_length=21.20, steps=200
ep_00659: path_length=23.78, steps=200
ep_00660: path_length=20.32, steps=200
ep_00661: path_length=23.10, steps=200
ep_00662: path_length=22.42, steps=200
ep_00663: path_length=20.99, steps=200
ep_00664: path_length=21.56, steps=200
ep_00665: path_length=22.19, steps=200
ep_00666: path_length=21.20, steps=200
ep_00667: path_length=22.15, steps=200
ep_00668: path_length=23.34, steps=200
ep_00669: path_length=23.50, steps=200
ep_00670: path_length=21.63, steps=200
ep_00671: path_length=20.97, steps=200
ep_00672: path_length=20.85, steps=200
ep_00673: path_length=21.59, steps=200
ep_00674: path_length=24.06, steps=200
ep_00675: path_length=19.97, steps=200
ep_00676: path_length=21.71, steps=200
ep_00677: path_length=21.21, steps=200
ep_00678: path_length=22.22, steps=200
ep_00679: path_length=23.68, steps=200
ep_00680: path_length=21.91, steps=200
ep_00681: path_length=21.83, steps=200
ep_00682: path_length=21.73, steps=200
ep_00683: path_length=21.54, steps=200
ep_00684: path_length=21.99, steps=200
ep_00685: path_length=21.22, steps=200
ep_00686: path_length=21.79, steps=200
ep_00687: path_length=22.03, steps=200
ep_00688: path_length=21.87, steps=200
ep_00689: path_length=22.38, steps=200
ep_00690: path_length=22.97, steps=200
ep_00691: path_length=22.09, steps=200
ep_00692: path_length=22.69, steps=200
ep_00693: path_length=20.51, steps=200
ep_00694: path_length=20.42, steps=200
ep_00695: path_length=22.16, steps=200
ep_00696: path_length=22.39, steps=200
ep_00697: path_length=19.47, steps=200
ep_00698: path_length=20.84, steps=200
ep_00699: path_length=20.50, steps=200
ep_00700: path_length=23.01, steps=200
ep_00701: path_length=20.59, steps=200
ep_00702: path_length=22.28, steps=200
ep_00703: path_length=21.84, steps=200
ep_00704: path_length=22.20, steps=200
ep_00705: path_length=22.30, steps=200
